所在城市,所在省份,景点样本数,游客样本量,平均评分,平均消费金额,平均访问时长(小时),高频景点,高频季节,高频交通方式,高频游客来源省
济宁市,山东,1,220,4.39,296.6,4.45,曲阜三孔(220),春季(64) / 秋季(55) / 夏季(51),飞机+大巴(25) / 空调大巴(24) / 高铁+大巴(21),陕西省(15) / 西藏自治区(12) / 内蒙古自治区(12) / 澳门特别行政区(10) / 安徽省(10)
吕梁市,山西,1,220,4.21,169.22,4.38,碛口古镇(220),秋季(58) / 夏季(57) / 春季(55),高铁+大巴(30) / 飞机+大巴(27) / 空调大巴(25),甘肃省(13) / 西藏自治区(12) / 青海省(11) / 湖南省(10) / 广东省(10)
信阳市,河南,1,220,4.19,233.88,4.33,鸡公山(220),春季(62) / 秋季(55) / 冬季(54),空调大巴(22) / 高铁+大巴(20) / 飞机+大巴(18),香港特别行政区(11) / 浙江省(10) / 河南省(10) / 安徽省(9) / 上海市(9)
本溪市,辽宁,1,219,4.68,284.84,4.57,本溪水洞(219),春季(58) / 秋季(57) / 冬季(56),高铁+大巴(24) / 空调大巴(23) / 飞机+大巴(20),山西省(13) / 香港特别行政区(11) / 福建省(9) / 陕西省(9) / 广东省(8)
广元市,四川,1,217,4.61,280.12,4.59,剑门关(217),冬季(59) / 秋季(59) / 夏季(50),高铁+大巴(27) / 空调大巴(27) / 飞机+大巴(23),辽宁省(12) / 河南省(11) / 甘肃省(9) / 海南省(9) / 西藏自治区(9)
鄂州市,湖北,1,217,4.58,188.31,4.55,鄂州梁子湖(217),秋季(59) / 夏季(56) / 春季(53),飞机+大巴(23) / 高铁+大巴(19) / 空调大巴(17),湖北省(13) / 海南省(10) / 甘肃省(10) / 安徽省(10) / 香港特别行政区(9)
亳州市,安徽,1,217,4.19,232.02,4.36,亳州花戏楼(217),春季(57) / 夏季(55) / 冬季(55),高铁+大巴(27) / 空调大巴(25) / 飞机+大巴(20),湖南省(10) / 浙江省(10) / 山西省(10) / 江西省(10) / 内蒙古自治区(9)
宣城市,安徽,1,216,4.38,237.8,4.76,太极洞(216),秋季(60) / 冬季(53) / 春季(52),飞机+大巴(23) / 空调大巴(21) / 高铁+大巴(21),辽宁省(10) / 广西壮族自治区(10) / 宁夏回族自治区(9) / 山东省(9) / 河南省(9)
贺州市,广西,1,216,4.11,286.71,4.52,贺州黄姚古镇(216),夏季(61) / 春季(56) / 冬季(51),飞机+大巴(22) / 空调大巴(19) / 高铁+大巴(18),陕西省(14) / 宁夏回族自治区(12) / 江西省(10) / 北京市(9) / 安徽省(8)
鞍山市,辽宁,1,215,4.5,253.7,4.56,千山(215),夏季(66) / 秋季(57) / 春季(49),空调大巴(24) / 飞机+大巴(19) / 高铁+大巴(17),澳门特别行政区(13) / 安徽省(12) / 湖南省(11) / 河南省(11) / 香港特别行政区(11)
商丘市,河南,1,215,4.42,255.8,4.69,芒砀山(215),冬季(58) / 秋季(56) / 春季(51),高铁+大巴(25) / 空调大巴(20) / 飞机+大巴(17),广东省(11) / 江苏省(11) / 河北省(10) / 香港特别行政区(10) / 台湾省(9)
德州市,山东,1,215,4.31,275.31,4.28,德州太阳谷(215),秋季(58) / 春季(56) / 冬季(51),空调大巴(25) / 飞机+大巴(22) / 高铁+大巴(19),北京市(13) / 海南省(13) / 河南省(11) / 黑龙江省(11) / 湖南省(11)
南通市,江苏,1,215,4.13,238.72,4.53,南通狼山(215),夏季(64) / 秋季(64) / 春季(47),飞机+大巴(20) / 空调大巴(19) / 高铁+大巴(19),青海省(12) / 陕西省(12) / 安徽省(11) / 澳门特别行政区(11) / 山东省(9)
阜新市,辽宁,1,212,4.19,237.98,4.59,阜新海棠山(212),春季(62) / 秋季(56) / 冬季(53),高铁+大巴(28) / 飞机+大巴(20) / 空调大巴(18),江西省(13) / 黑龙江省(10) / 广西壮族自治区(9) / 内蒙古自治区(9) / 广东省(9)
营口市,辽宁,1,211,4.61,190.39,4.64,营口鲅鱼圈(211),夏季(59) / 冬季(52) / 春季(51),空调大巴(23) / 高铁+大巴(23) / 飞机+大巴(22),安徽省(10) / 香港特别行政区(10) / 四川省(10) / 山西省(9) / 陕西省(8)
泰安市,山东,1,210,4.74,274.81,4.33,泰山(210),春季(62) / 冬季(53) / 夏季(49),高铁+大巴(26) / 空调大巴(25) / 飞机+大巴(16),海南省(13) / 广东省(12) / 香港特别行政区(12) / 湖南省(11) / 上海市(9)
白城市,吉林,1,210,4.29,245.33,4.49,向海自然保护区(210),春季(56) / 秋季(55) / 冬季(51),空调大巴(21) / 飞机+大巴(21) / 高铁+大巴(19),上海市(11) / 西藏自治区(10) / 湖北省(10) / 香港特别行政区(9) / 四川省(9)
张家口市,河北,1,210,4.2,198.5,4.5,张家口大境门(210),冬季(60) / 春季(53) / 夏季(51),飞机+大巴(22) / 空调大巴(19) / 高铁+大巴(18),安徽省(13) / 河北省(13) / 新疆维吾尔自治区(10) / 辽宁省(10) / 湖南省(8)
盐城市,江苏,1,209,4.52,233.35,4.47,盐城丹顶鹤湿地(209),冬季(67) / 夏季(50) / 秋季(47),高铁+大巴(31) / 飞机+大巴(22) / 空调大巴(13),澳门特别行政区(13) / 吉林省(11) / 西藏自治区(10) / 四川省(10) / 广东省(10)
阜阳市,安徽,1,207,4.8,263.79,4.35,八里河(207),冬季(58) / 秋季(52) / 春季(51),高铁+大巴(25) / 飞机+大巴(24) / 空调大巴(18),河南省(12) / 四川省(9) / 湖北省(9) / 山西省(8) / 上海市(8)
马鞍山市,安徽,1,207,4.51,256.94,4.57,采石矶(207),春季(58) / 冬季(52) / 秋季(49),高铁+大巴(27) / 空调大巴(19) / 飞机+大巴(17),四川省(12) / 湖北省(9) / 云南省(9) / 青海省(8) / 湖南省(8)
崇左市,广西,1,207,4.47,275.09,4.4,德天瀑布(207),夏季(59) / 冬季(54) / 春季(50),高铁+大巴(22) / 空调大巴(14) / 飞机+大巴(10),江苏省(10) / 湖南省(10) / 海南省(9) / 上海市(9) / 天津市(9)
七台河市,黑龙江,1,206,4.61,211.03,4.41,七台河勃利西大圈(206),春季(57) / 夏季(55) / 秋季(54),飞机+大巴(29) / 高铁+大巴(26) / 空调大巴(16),北京市(11) / 福建省(10) / 台湾省(10) / 河北省(8) / 广西壮族自治区(8)
丽水市,浙江,1,206,4.51,254.42,4.1,丽水云和梯田(206),秋季(58) / 春季(53) / 冬季(52),高铁+大巴(26) / 飞机+大巴(20) / 空调大巴(16),江苏省(11) / 浙江省(10) / 福建省(10) / 辽宁省(10) / 台湾省(10)
新余市,江西,1,205,4.4,252.3,4.39,仙女湖(205),夏季(55) / 秋季(53) / 冬季(52),空调大巴(28) / 飞机+大巴(21) / 高铁+大巴(10),甘肃省(11) / 四川省(10) / 天津市(10) / 西藏自治区(9) / 湖南省(8)
孝感市,湖北,1,201,4.21,212.99,4.6,孝感双峰山(201),冬季(55) / 秋季(53) / 夏季(47),高铁+大巴(23) / 飞机+大巴(19) / 空调大巴(18),安徽省(10) / 海南省(10) / 青海省(9) / 福建省(9) / 北京市(9)
