景点名称,所在城市,所在省份,景点类型,景点等级,游客样本量,平均评分,平均消费金额,平均门票价格,平均访问时长(小时),跟团占比(%),节假日访问占比(%),高频季节,高频交通方式,高频游客来源省,推荐程度分布,满意度分布,匹配素材标题,匹配素材路径,预览图路径
西安钟鼓楼,西安市,陕西,历史建筑,4A,239,4.11,215.45,50.0,4.32,30.13,56.07,秋季(65) / 夏季(60),高铁+大巴(27) / 空调大巴(24) / 飞机+大巴(21),北京市(13) / 浙江省(12) / 黑龙江省(11) / 海南省(11) / 内蒙古自治区(10),推荐(205) / 强烈推荐(34),满意(205) / 非常满意(34),西安,D:\wzb\全部131个景点\西安.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_108.png
阳朔西街,桂林市,广西,古镇风情,4A,239,4.1,173.42,0.0,4.57,30.54,43.51,夏季(64) / 秋季(62),飞机+大巴(29) / 高铁+大巴(23) / 空调大巴(21),湖南省(15) / 湖北省(12) / 澳门特别行政区(12) / 江西省(12) / 安徽省(11),推荐(210) / 强烈推荐(29),满意(210) / 非常满意(29),桂林旅游攻略,D:\wzb\全部131个景点\桂林旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_072.png
三亚亚龙湾,三亚市,海南,自然风光,4A,239,4.08,161.63,0.0,4.62,32.22,50.63,冬季(76) / 秋季(62),高铁+大巴(31) / 飞机+大巴(26) / 空调大巴(20),台湾省(11) / 甘肃省(10) / 西藏自治区(10) / 广东省(10) / 天津市(10),推荐(210) / 强烈推荐(29),满意(210) / 非常满意(29),三亚旅游攻略,D:\wzb\全部131个景点\三亚旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_003.png
大连森林动物园,大连市,辽宁,动物园,4A,239,3.97,281.69,120.0,4.57,33.89,43.1,秋季(65) / 春季(60),空调大巴(28) / 高铁+大巴(28) / 飞机+大巴(25),四川省(12) / 香港特别行政区(11) / 台湾省(10) / 贵州省(10) / 辽宁省(10),推荐(230) / 强烈推荐(9),满意(230) / 非常满意(9),大连旅游攻略,D:\wzb\全部131个景点\大连旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_039.png
深圳世界之窗,深圳市,广东,主题公园,5A,238,4.68,397.68,220.0,4.54,28.15,46.64,秋季(69) / 夏季(67),高铁+大巴(27) / 空调大巴(21) / 飞机+大巴(19),北京市(12) / 湖北省(12) / 海南省(12) / 河南省(11) / 山东省(11),强烈推荐(176) / 推荐(62),非常满意(176) / 满意(62),深圳旅游攻略,D:\wzb\全部131个景点\深圳旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_085.png
天台山,台州市,浙江,自然文化,5A,238,4.57,257.15,65.0,4.59,27.73,50.0,秋季(72) / 春季(65),空调大巴(25) / 高铁+大巴(21) / 飞机+大巴(20),湖北省(13) / 海南省(12) / 内蒙古自治区(12) / 安徽省(11) / 香港特别行政区(10),强烈推荐(149) / 推荐(89),非常满意(149) / 满意(89),,,
北海银滩,北海市,广西,自然风光,4A,238,4.53,186.79,0.0,4.47,34.03,51.68,春季(65) / 秋季(60),高铁+大巴(29) / 空调大巴(28) / 飞机+大巴(24),广东省(13) / 湖北省(11) / 河南省(11) / 云南省(10) / 吉林省(10),强烈推荐(135) / 推荐(103),非常满意(135) / 满意(103),北海旅游攻略,D:\wzb\全部131个景点\北海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_020.png
常家庄园,晋中市,山西,历史建筑,4A,238,4.5,236.59,60.0,4.4,31.93,44.12,秋季(76) / 春季(55),高铁+大巴(29) / 飞机+大巴(24) / 空调大巴(23),河北省(14) / 广东省(11) / 山西省(10) / 甘肃省(10) / 福建省(9),强烈推荐(134) / 推荐(104),非常满意(134) / 满意(104),,,
承德避暑山庄,承德市,河北,历史文化,5A,238,4.42,304.22,130.0,4.55,25.21,52.52,冬季(79) / 秋季(59),空调大巴(22) / 飞机+大巴(20) / 高铁+大巴(18),广东省(12) / 台湾省(10) / 天津市(10) / 香港特别行政区(10) / 江苏省(9),推荐(122) / 强烈推荐(116),满意(122) / 非常满意(116),,,
上海动物园,上海市,上海,动物园,4A,238,4.4,214.23,40.0,4.58,29.83,48.74,冬季(66) / 夏季(66),高铁+大巴(28) / 空调大巴(23) / 飞机+大巴(20),广东省(15) / 天津市(13) / 西藏自治区(12) / 安徽省(10) / 北京市(9),推荐(130) / 强烈推荐(108),满意(130) / 非常满意(108),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
三清山,上饶市,江西,自然风光,5A,238,4.39,297.37,120.0,4.34,30.67,45.38,冬季(69) / 春季(66),飞机+大巴(27) / 高铁+大巴(26) / 空调大巴(20),上海市(11) / 河南省(11) / 湖南省(11) / 安徽省(10) / 四川省(10),推荐(133) / 强烈推荐(105),满意(133) / 非常满意(105),三清山,D:\wzb\全部131个景点\三清山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_004.png
陈家祠,广州市,广东,历史建筑,4A,238,4.39,183.53,10.0,4.46,31.51,49.16,夏季(62) / 春季(61),空调大巴(29) / 高铁+大巴(25) / 飞机+大巴(21),广东省(12) / 河南省(12) / 天津市(11) / 甘肃省(11) / 上海市(9),推荐(144) / 强烈推荐(94),满意(144) / 非常满意(94),广州旅游攻略,D:\wzb\全部131个景点\广州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_051.png
寿县古城,淮南市,安徽,历史文化,4A,238,4.23,218.03,0.0,4.16,32.35,41.6,冬季(69) / 夏季(61),高铁+大巴(31) / 空调大巴(25) / 飞机+大巴(21),甘肃省(14) / 天津市(12) / 澳门特别行政区(11) / 山东省(11) / 宁夏回族自治区(11),推荐(171) / 强烈推荐(67),满意(171) / 非常满意(67),,,
沂蒙山,临沂市,山东,自然风光,5A,237,4.65,251.05,70.0,4.54,28.27,47.68,秋季(63) / 夏季(62),空调大巴(27) / 飞机+大巴(22) / 高铁+大巴(18),浙江省(14) / 江苏省(12) / 山西省(11) / 陕西省(11) / 天津市(10),强烈推荐(171) / 推荐(66),非常满意(171) / 满意(66),,,
玉林云天文化城,玉林市,广西,主题公园,4A,237,4.6,316.69,150.0,4.42,27.43,46.84,夏季(75) / 秋季(58),飞机+大巴(25) / 空调大巴(22) / 高铁+大巴(18),江苏省(16) / 内蒙古自治区(12) / 香港特别行政区(11) / 台湾省(11) / 海南省(10),强烈推荐(154) / 推荐(83),非常满意(154) / 满意(83),,,
聊城东昌湖,聊城市,山东,自然风光,4A,237,4.58,185.87,0.0,4.43,29.54,51.48,秋季(64) / 冬季(61),飞机+大巴(31) / 空调大巴(25) / 高铁+大巴(14),山东省(12) / 四川省(12) / 山西省(12) / 西藏自治区(10) / 辽宁省(9),强烈推荐(152) / 推荐(85),非常满意(152) / 满意(85),,,
青城山,成都市,四川,宗教文化,5A,237,4.51,274.45,90.0,4.49,29.96,46.41,春季(65) / 冬季(62),高铁+大巴(25) / 空调大巴(24) / 飞机+大巴(22),贵州省(12) / 广东省(11) / 河北省(10) / 福建省(10) / 澳门特别行政区(9),强烈推荐(133) / 推荐(104),非常满意(133) / 满意(104),青城山,D:\wzb\全部131个景点\青城山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_123.png
烟台山,烟台市,山东,自然风光,4A,237,4.42,237.3,50.0,4.51,29.11,47.26,春季(62) / 秋季(61),高铁+大巴(27) / 空调大巴(26) / 飞机+大巴(16),河南省(12) / 天津市(12) / 安徽省(12) / 江苏省(11) / 河北省(10),推荐(121) / 强烈推荐(116),满意(121) / 非常满意(116),烟台旅游攻略.1,D:\wzb\全部131个景点\烟台旅游攻略.1.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_089.png
清西陵,保定市,河北,历史遗址,5A,237,4.38,273.2,90.0,4.63,27.85,44.3,夏季(71) / 秋季(58),高铁+大巴(26) / 空调大巴(21) / 飞机+大巴(19),湖南省(11) / 海南省(10) / 吉林省(10) / 江西省(10) / 台湾省(9),推荐(138) / 强烈推荐(99),满意(138) / 非常满意(99),,,
上海世纪公园,上海市,上海,城市公园,4A,237,4.09,188.04,10.0,4.56,30.8,49.79,冬季(71) / 秋季(61),高铁+大巴(29) / 飞机+大巴(25) / 空调大巴(19),湖南省(11) / 内蒙古自治区(10) / 香港特别行政区(10) / 山西省(10) / 甘肃省(10),推荐(198) / 强烈推荐(39),满意(198) / 非常满意(39),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
悬空寺,大同市,山西,宗教文化,4A,237,4.01,292.76,125.0,4.53,32.07,45.99,夏季(72) / 春季(62),高铁+大巴(29) / 空调大巴(26) / 飞机+大巴(21),天津市(12) / 重庆市(12) / 北京市(11) / 山西省(11) / 广西壮族自治区(11),推荐(224) / 强烈推荐(13),满意(224) / 非常满意(13),大同,D:\wzb\全部131个景点\大同.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_037.png
温州楠溪江,温州市,浙江,自然风光,4A,236,4.78,241.04,50.0,4.6,30.08,51.27,冬季(64) / 秋季(61),飞机+大巴(32) / 空调大巴(23) / 高铁+大巴(16),浙江省(11) / 广东省(10) / 青海省(10) / 内蒙古自治区(9) / 河南省(9),强烈推荐(209) / 推荐(27),非常满意(209) / 满意(27),,,
西樵山,佛山市,广东,自然文化,5A,236,4.71,250.71,55.0,4.5,25.85,48.31,秋季(64) / 冬季(61),空调大巴(24) / 高铁+大巴(21) / 飞机+大巴(16),西藏自治区(14) / 山东省(10) / 四川省(10) / 甘肃省(10) / 上海市(10),强烈推荐(181) / 推荐(55),非常满意(181) / 满意(55),,,
佳木斯同江三江口,佳木斯市,黑龙江,自然风光,4A,236,4.59,186.86,30.0,4.43,30.51,44.92,春季(67) / 秋季(60),飞机+大巴(33) / 高铁+大巴(22) / 空调大巴(17),澳门特别行政区(13) / 河北省(13) / 黑龙江省(10) / 福建省(10) / 甘肃省(9),强烈推荐(152) / 推荐(84),非常满意(152) / 满意(84),,,
上海长风海洋世界,上海市,上海,水族馆,4A,236,4.54,343.27,180.0,4.69,32.63,49.58,夏季(68) / 秋季(61),空调大巴(29) / 高铁+大巴(25) / 飞机+大巴(23),河北省(12) / 甘肃省(10) / 海南省(10) / 内蒙古自治区(9) / 江西省(9),强烈推荐(144) / 推荐(92),非常满意(144) / 满意(92),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
天门山,张家界市,湖南,自然风光,5A,236,4.48,444.99,258.0,4.52,27.97,44.92,秋季(65) / 春季(64),高铁+大巴(23) / 飞机+大巴(22) / 空调大巴(21),河南省(12) / 辽宁省(10) / 重庆市(10) / 山东省(9) / 河北省(9),强烈推荐(123) / 推荐(113),非常满意(123) / 满意(113),张家界,D:\wzb\全部131个景点\张家界.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_055.png
北京欢乐谷,北京市,北京,主题公园,4A,236,4.41,458.63,299.0,4.63,26.69,46.61,夏季(64) / 春季(61),高铁+大巴(24) / 飞机+大巴(21) / 空调大巴(18),福建省(11) / 湖北省(10) / 海南省(10) / 广西壮族自治区(10) / 甘肃省(9),推荐(121) / 强烈推荐(115),满意(121) / 非常满意(115),北京,D:\wzb\全部131个景点\北京.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_018.png
荆门明显陵,荆门市,湖北,历史遗址,4A,236,4.41,216.62,50.0,4.55,29.66,47.88,春季(62) / 夏季(61),空调大巴(25) / 飞机+大巴(23) / 高铁+大巴(22),重庆市(15) / 湖南省(14) / 西藏自治区(11) / 江西省(11) / 云南省(10),推荐(123) / 强烈推荐(113),满意(123) / 非常满意(113),,,
黄龙,阿坝州,四川,自然风光,5A,236,4.41,328.1,170.0,4.49,34.32,39.83,夏季(68) / 秋季(60),高铁+大巴(32) / 空调大巴(30) / 飞机+大巴(19),安徽省(13) / 甘肃省(12) / 四川省(12) / 广东省(11) / 河南省(11),推荐(130) / 强烈推荐(106),满意(130) / 非常满意(106),,,
运城盐湖,运城市,山西,自然风光,4A,236,4.31,206.04,30.0,4.47,32.63,45.34,夏季(67) / 秋季(66),高铁+大巴(27) / 飞机+大巴(25) / 空调大巴(25),云南省(14) / 山西省(11) / 安徽省(11) / 宁夏回族自治区(10) / 广东省(10),推荐(153) / 强烈推荐(83),满意(153) / 非常满意(83),,,
元阳梯田,红河州,云南,自然风光,4A,236,4.3,246.26,70.0,4.64,27.97,47.46,春季(67) / 夏季(63),空调大巴(28) / 高铁+大巴(23) / 飞机+大巴(15),湖南省(12) / 内蒙古自治区(12) / 浙江省(11) / 辽宁省(10) / 湖北省(9),推荐(151) / 强烈推荐(85),满意(151) / 非常满意(85),,,
松花湖,吉林市,吉林,自然风光,4A,236,4.3,223.07,50.0,4.48,30.51,44.92,秋季(68) / 冬季(59),高铁+大巴(25) / 飞机+大巴(24) / 空调大巴(23),宁夏回族自治区(13) / 甘肃省(12) / 北京市(11) / 黑龙江省(10) / 江西省(9),推荐(152) / 强烈推荐(84),满意(152) / 非常满意(84),,,
外滩,上海市,上海,城市景观,4A,236,4.21,171.78,0.0,4.46,30.08,49.15,秋季(64) / 春季(63),飞机+大巴(29) / 高铁+大巴(28) / 空调大巴(14),天津市(12) / 澳门特别行政区(11) / 香港特别行政区(11) / 辽宁省(11) / 江苏省(10),推荐(172) / 强烈推荐(64),满意(172) / 非常满意(64),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
建水古城,红河州,云南,古镇风情,4A,236,4.1,177.99,0.0,4.54,28.81,43.22,夏季(60) / 春季(59),飞机+大巴(25) / 高铁+大巴(25) / 空调大巴(18),山西省(15) / 浙江省(12) / 云南省(12) / 安徽省(10) / 甘肃省(10),推荐(205) / 强烈推荐(31),满意(205) / 非常满意(31),,,
崂山,青岛市,山东,自然风光,5A,235,4.84,276.69,90.0,4.53,27.23,41.28,秋季(72) / 夏季(59),飞机+大巴(25) / 高铁+大巴(21) / 空调大巴(18),海南省(14) / 重庆市(12) / 江苏省(11) / 香港特别行政区(10) / 广西壮族自治区(10),强烈推荐(226) / 推荐(9),非常满意(226) / 满意(9),青岛旅游攻略,D:\wzb\全部131个景点\青岛旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_124.png
白云山,广州市,广东,自然风光,5A,235,4.77,183.08,5.0,4.56,29.79,44.26,夏季(62) / 冬季(59),高铁+大巴(27) / 空调大巴(23) / 飞机+大巴(20),广东省(13) / 青海省(12) / 湖南省(11) / 海南省(11) / 四川省(10),强烈推荐(202) / 推荐(33),非常满意(202) / 满意(33),广州旅游攻略,D:\wzb\全部131个景点\广州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_051.png
金石滩,大连市,辽宁,自然风光,5A,235,4.75,303.9,120.0,4.49,30.21,50.64,秋季(63) / 夏季(63),飞机+大巴(25) / 高铁+大巴(23) / 空调大巴(23),安徽省(12) / 山东省(12) / 澳门特别行政区(12) / 广西壮族自治区(10) / 甘肃省(10),强烈推荐(197) / 推荐(38),非常满意(197) / 满意(38),大连旅游攻略,D:\wzb\全部131个景点\大连旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_039.png
昆明世博园,昆明市,云南,主题公园,5A,235,4.74,277.78,100.0,4.78,30.21,48.09,春季(64) / 冬季(57),飞机+大巴(33) / 空调大巴(25) / 高铁+大巴(13),浙江省(12) / 上海市(12) / 重庆市(11) / 安徽省(11) / 广东省(11),强烈推荐(197) / 推荐(38),非常满意(197) / 满意(38),昆明,D:\wzb\全部131个景点\昆明.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_066.png
白水洋,宁德市,福建,自然风光,5A,235,4.57,295.26,120.0,4.29,29.79,50.64,秋季(65) / 春季(60),高铁+大巴(26) / 空调大巴(25) / 飞机+大巴(19),上海市(12) / 河南省(10) / 四川省(10) / 安徽省(10) / 台湾省(9),强烈推荐(141) / 推荐(94),非常满意(141) / 满意(94),,,
湖南省博物馆,长沙市,湖南,文博院馆,4A,235,4.52,147.1,0.0,4.5,25.96,45.11,冬季(76) / 夏季(59),空调大巴(21) / 高铁+大巴(21) / 飞机+大巴(19),海南省(14) / 云南省(13) / 宁夏回族自治区(12) / 贵州省(11) / 天津市(10),强烈推荐(137) / 推荐(98),非常满意(137) / 满意(98),长沙,D:\wzb\全部131个景点\长沙.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_120.png
露水河国家森林公园,白山市,吉林,自然风光,4A,235,4.43,246.38,60.0,4.63,30.64,42.98,夏季(70) / 春季(59),空调大巴(24) / 飞机+大巴(24) / 高铁+大巴(24),香港特别行政区(13) / 湖北省(11) / 江西省(11) / 安徽省(11) / 广西壮族自治区(10),强烈推荐(121) / 推荐(114),非常满意(121) / 满意(114),长白山旅游攻略,D:\wzb\全部131个景点\长白山旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_121.png
故宫博物院,北京市,北京,历史文化,5A,235,4.39,230.3,60.0,4.74,30.64,51.49,夏季(64) / 春季(60),空调大巴(27) / 高铁+大巴(23) / 飞机+大巴(22),浙江省(13) / 福建省(12) / 湖南省(12) / 青海省(12) / 甘肃省(12),推荐(131) / 强烈推荐(104),满意(131) / 非常满意(104),故宫,D:\wzb\全部131个景点\故宫.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_060.png
南岳衡山,衡阳市,湖南,自然文化,5A,235,4.3,287.5,110.0,4.5,28.51,51.91,秋季(63) / 夏季(62),空调大巴(31) / 飞机+大巴(20) / 高铁+大巴(16),陕西省(11) / 湖南省(11) / 辽宁省(10) / 上海市(10) / 福建省(10),推荐(160) / 强烈推荐(75),满意(160) / 非常满意(75),衡山,D:\wzb\全部131个景点\衡山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_105.png
青岛海滨风景区,青岛市,山东,自然风光,4A,235,4.3,177.64,0.0,4.35,27.66,44.68,夏季(65) / 冬季(59),飞机+大巴(24) / 高铁+大巴(21) / 空调大巴(20),浙江省(13) / 河北省(12) / 青海省(12) / 山西省(11) / 湖南省(10),推荐(152) / 强烈推荐(83),满意(152) / 非常满意(83),青岛旅游攻略,D:\wzb\全部131个景点\青岛旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_124.png
湛江湖光岩,湛江市,广东,自然风光,4A,235,4.29,227.32,50.0,4.48,28.09,51.49,冬季(67) / 夏季(60),高铁+大巴(28) / 空调大巴(20) / 飞机+大巴(18),江苏省(14) / 青海省(12) / 四川省(11) / 湖南省(11) / 云南省(11),推荐(153) / 强烈推荐(82),满意(153) / 非常满意(82),,,
龙亭公园,开封市,河南,历史文化,4A,235,4.22,221.92,50.0,4.66,28.09,44.68,夏季(70) / 冬季(62),高铁+大巴(28) / 空调大巴(19) / 飞机+大巴(19),江西省(14) / 贵州省(12) / 河南省(12) / 甘肃省(12) / 辽宁省(10),推荐(179) / 强烈推荐(56),满意(179) / 非常满意(56),,,
雍和宫,北京市,北京,宗教文化,4A,235,4.09,210.58,25.0,4.34,34.89,45.96,秋季(62) / 春季(62),飞机+大巴(29) / 高铁+大巴(27) / 空调大巴(26),山东省(14) / 安徽省(12) / 甘肃省(9) / 青海省(9) / 山西省(9),推荐(204) / 强烈推荐(31),满意(204) / 非常满意(31),北京,D:\wzb\全部131个景点\北京.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_018.png
白马寺,洛阳市,河南,宗教文化,4A,235,4.0,203.66,35.0,4.45,31.49,41.7,秋季(66) / 春季(66),高铁+大巴(33) / 空调大巴(22) / 飞机+大巴(19),上海市(12) / 青海省(11) / 新疆维吾尔自治区(11) / 吉林省(10) / 海南省(10),推荐(223) / 强烈推荐(12),满意(223) / 非常满意(12),洛阳,D:\wzb\全部131个景点\洛阳.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_080.png
海口骑楼老街,海口市,海南,历史文化,3A,235,3.64,148.94,0.0,4.54,28.94,51.06,冬季(64) / 夏季(61),空调大巴(25) / 飞机+大巴(22) / 高铁+大巴(21),西藏自治区(14) / 广东省(13) / 辽宁省(12) / 重庆市(10) / 湖南省(10),推荐(164) / 一般(71),满意(164) / 一般(71),海口旅游攻略,D:\wzb\全部131个景点\海口旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_083.png
云台山,焦作市,河南,自然风光,5A,234,4.73,298.99,120.0,4.61,32.91,43.59,夏季(74) / 春季(60),高铁+大巴(31) / 飞机+大巴(25) / 空调大巴(21),四川省(12) / 内蒙古自治区(10) / 吉林省(10) / 澳门特别行政区(9) / 江苏省(9),强烈推荐(196) / 推荐(38),非常满意(196) / 满意(38),云台山,D:\wzb\全部131个景点\云台山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_014.png
武功山,萍乡市,江西,自然风光,5A,234,4.67,222.45,70.0,4.87,26.07,43.59,春季(69) / 夏季(57),高铁+大巴(25) / 飞机+大巴(22) / 空调大巴(14),河南省(14) / 内蒙古自治区(12) / 福建省(10) / 重庆市(9) / 云南省(9),强烈推荐(169) / 推荐(65),非常满意(169) / 满意(65),,,
邢台大峡谷,邢台市,河北,自然风光,4A,234,4.6,220.08,50.0,4.22,32.91,47.86,秋季(68) / 冬季(62),高铁+大巴(27) / 飞机+大巴(26) / 空调大巴(24),河北省(10) / 内蒙古自治区(10) / 湖北省(10) / 宁夏回族自治区(10) / 河南省(9),强烈推荐(147) / 推荐(87),非常满意(147) / 满意(87),,,
日照海滨国家森林公园,日照市,山东,自然风光,4A,234,4.59,236.24,60.0,4.43,32.91,37.61,秋季(72) / 春季(59),高铁+大巴(30) / 飞机+大巴(25) / 空调大巴(22),湖南省(14) / 河南省(10) / 辽宁省(10) / 甘肃省(9) / 台湾省(9),强烈推荐(155) / 推荐(79),非常满意(155) / 满意(79),日照旅游攻略.1,D:\wzb\全部131个景点\日照旅游攻略.1.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_064.png
金丝峡,商洛市,陕西,自然风光,5A,234,4.4,271.87,100.0,4.24,31.2,49.15,夏季(61) / 秋季(61),高铁+大巴(26) / 飞机+大巴(25) / 空调大巴(22),安徽省(11) / 河南省(11) / 甘肃省(11) / 广西壮族自治区(11) / 云南省(10),推荐(126) / 强烈推荐(108),满意(126) / 非常满意(108),,,
鹤岗萝北名山岛,鹤岗市,黑龙江,自然风光,4A,234,4.3,211.4,50.0,4.67,32.91,39.74,夏季(67) / 秋季(60),空调大巴(33) / 高铁+大巴(28) / 飞机+大巴(16),四川省(13) / 贵州省(13) / 香港特别行政区(11) / 山西省(10) / 北京市(10),推荐(157) / 强烈推荐(77),满意(157) / 非常满意(77),,,
大连星海广场,大连市,辽宁,城市景观,4A,234,4.09,186.78,0.0,4.41,35.04,53.85,春季(67) / 冬季(60),高铁+大巴(29) / 空调大巴(28) / 飞机+大巴(25),陕西省(13) / 湖北省(12) / 安徽省(10) / 山东省(10) / 内蒙古自治区(10),推荐(199) / 强烈推荐(35),满意(199) / 非常满意(35),大连旅游攻略,D:\wzb\全部131个景点\大连旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_039.png
徐州云龙湖,徐州市,江苏,自然风光,5A,233,4.76,179.45,0.0,4.35,29.18,47.64,冬季(68) / 春季(59),高铁+大巴(25) / 飞机+大巴(22) / 空调大巴(21),甘肃省(14) / 安徽省(13) / 湖南省(10) / 江西省(9) / 宁夏回族自治区(9),强烈推荐(202) / 推荐(31),非常满意(202) / 满意(31),,,
天下第一泉,济南市,山东,自然风光,5A,233,4.75,201.16,40.0,4.42,32.62,43.78,秋季(68) / 冬季(61),高铁+大巴(30) / 飞机+大巴(28) / 空调大巴(18),福建省(12) / 陕西省(11) / 甘肃省(11) / 内蒙古自治区(10) / 贵州省(10),强烈推荐(196) / 推荐(37),非常满意(196) / 满意(37),济南旅游攻略,D:\wzb\全部131个景点\济南旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_081.png
珠海长隆海洋王国,珠海市,广东,主题公园,5A,233,4.75,578.26,395.0,4.41,31.76,44.64,春季(70) / 夏季(62),高铁+大巴(29) / 飞机+大巴(23) / 空调大巴(22),湖北省(11) / 广西壮族自治区(11) / 内蒙古自治区(11) / 台湾省(10) / 湖南省(10),强烈推荐(197) / 推荐(36),非常满意(197) / 满意(36),珠海旅游攻略,D:\wzb\全部131个景点\珠海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_091.png
净月潭,长春市,吉林,自然风光,5A,233,4.68,202.88,30.0,4.31,27.9,51.93,春季(70) / 夏季(59),空调大巴(28) / 高铁+大巴(20) / 飞机+大巴(17),香港特别行政区(15) / 天津市(11) / 湖南省(10) / 黑龙江省(10) / 河南省(10),强烈推荐(175) / 推荐(58),非常满意(175) / 满意(58),,,
台儿庄古城,枣庄市,山东,古镇风情,5A,233,4.68,325.59,160.0,4.3,29.18,48.5,夏季(62) / 冬季(61),空调大巴(25) / 高铁+大巴(24) / 飞机+大巴(19),陕西省(14) / 甘肃省(13) / 江苏省(11) / 西藏自治区(11) / 上海市(9),强烈推荐(185) / 推荐(48),非常满意(185) / 满意(48),,,
双鸭山七星峰,双鸭山市,黑龙江,自然风光,4A,233,4.67,230.92,40.0,4.41,29.61,43.78,夏季(64) / 春季(57),高铁+大巴(29) / 飞机+大巴(23) / 空调大巴(17),上海市(14) / 甘肃省(13) / 浙江省(11) / 湖南省(10) / 重庆市(9),强烈推荐(175) / 推荐(58),非常满意(175) / 满意(58),,,
黄河风景区,郑州市,河南,自然风光,4A,233,4.67,250.38,60.0,4.52,24.03,47.64,春季(68) / 冬季(62),飞机+大巴(23) / 高铁+大巴(17) / 空调大巴(16),吉林省(11) / 山西省(11) / 甘肃省(10) / 贵州省(10) / 内蒙古自治区(10),强烈推荐(173) / 推荐(60),非常满意(173) / 满意(60),,,
太白山,宝鸡市,陕西,自然风光,5A,233,4.65,273.19,90.0,4.42,30.04,42.49,夏季(63) / 春季(59),空调大巴(27) / 飞机+大巴(23) / 高铁+大巴(20),上海市(14) / 安徽省(11) / 山西省(11) / 福建省(11) / 台湾省(10),强烈推荐(163) / 推荐(70),非常满意(163) / 满意(70),,,
神农架,神农架林区,湖北,自然风光,5A,233,4.49,293.42,130.0,4.63,27.9,46.78,春季(67) / 冬季(56),高铁+大巴(28) / 空调大巴(21) / 飞机+大巴(16),江苏省(13) / 宁夏回族自治区(12) / 重庆市(11) / 江西省(11) / 四川省(10),强烈推荐(123) / 推荐(110),非常满意(123) / 满意(110),,,
蜈支洲岛,三亚市,海南,自然风光,5A,233,4.49,327.29,144.0,4.45,27.04,44.64,夏季(65) / 冬季(60),高铁+大巴(25) / 飞机+大巴(21) / 空调大巴(17),广东省(12) / 西藏自治区(11) / 广西壮族自治区(10) / 江苏省(10) / 台湾省(9),强烈推荐(121) / 推荐(112),非常满意(121) / 满意(112),三亚旅游攻略,D:\wzb\全部131个景点\三亚旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_003.png
